ageOfWife;ageOfHusband;AgeOfWife1stbirth;AgeofHusband1stbirth;educationWife;educationHusband;FrequencyInternetWife;FrequencyInternetHusband;Wealth;TypeofPlace;Totalchildren;Agechild;Sexthefirstchild
30;33;19;22;Primary;Primary;NotAtAll;NotAtAll;Poorest;Rural;4;9;F
42;45;22;19;No education;Primary;NotAtAll;NotAtAll;Poorest;Rural;5;19;M
37;39;18;21;Primary;Secondary;NotAtAll;NotAtAll;Poorer;Rural;8;17;M
38;44;20;26;Secondary;Secondary;NotAtAll;NotAtAll;Middle;Rural;2;18;F
36;42;20;26;Primary;Secondary;NotAtAll;NotAtAll;Richer;Rural;4;16;M
28;28;21;21;Secondary;Secondary;NotAtAll;NotAtAll;Poorer;Rural;2;6;F
43;45;23;24;Secondary;Secondary;NotAtAll;NotAtAll;Poorer;Rural;6;20;F
43;45;21;23;Secondary;Secondary;NotAtAll;NotAtAll;Richer;Rural;3;22;M
30;35;23;28;Primary;Primary;NotAtAll;NotAtAll;Poorest;Rural;2;7;F
33;36;18;23;Secondary;Primary;NotAtAll;NotAtAll;Poorest;Rural;4;14;M
36;41;25;30;Primary;Secondary;NotAtAll;NotAtAll;Poorest;Rural;3;11;F
49;54;23;28;Primary;Primary;NotAtAll;NotAtAll;Poorest;Rural;6;25;M
38;38;22;22;Secondary;Secondary;NotAtAll;NotAtAll;Middle;Rural;3;16;M
35;38;24;27;Secondary;Secondary;NotAtAll;NotAtAll;Middle;Urban;1;10;F
30;35;22;29;Secondary;Secondary;LessThanOnceAweek;NotAtAll;Poorer;Urban;2;7;F
32;37;24;30;Secondary;Primary;NotAtAll;NotAtAll;Poorest;Urban;2;7;M
26;33;17;25;Primary;Secondary;NotAtAll;NotAtAll;Poorer;Urban;2;8;F
34;42;19;27;Higher;Secondary;AlmostEveryday;NotAtAll;Richest;Urban;1;15;M
30;33;20;24;Secondary;Secondary;AlmostEveryday;AlmostEveryday;Middle;Urban;2;10;F
23;34;23;34;Secondary;Secondary;onceAweek;AlmostEveryday;Middle;Urban;1;0;M
44;44;21;21;Secondary;Secondary;NotAtAll;NotAtAll;Poorer;Urban;3;22;F
25;29;23;26;Secondary;Secondary;NotAtAll;NotAtAll;Poorest;Urban;1;2;M
33;31;24;23;Higher;Secondary;NotAtAll;NotAtAll;Poorest;Urban;2;8;F
47;53;20;27;Primary;Primary;NotAtAll;NotAtAll;Middle;Urban;10;25;M
29;34;20;25;Secondary;Secondary;NotAtAll;NotAtAll;Poorer;Rural;2;9;F
37;38;21;22;Primary;Secondary;NotAtAll;NotAtAll;Poorer;Rural;2;16;M
25;35;20;30;Secondary;Primary;NotAtAll;NotAtAll;Poorer;Rural;1;5;M
37;40;29;32;Secondary;Primary;NotAtAll;NotAtAll;Poorest;Rural;2;7;F
46;54;26;36;Secondary;Secondary;NotAtAll;NotAtAll;Richer;Rural;4;19;F
39;43;21;24;Secondary;Primary;NotAtAll;NotAtAll;Middle;Rural;2;18;F
49;54;17;27;Primary;Primary;NotAtAll;NotAtAll;Middle;Rural;5;26;M
46;49;19;23;Primary;Secondary;NotAtAll;NotAtAll;Poorest;Rural;4;27;M
43;44;23;24;Primary;Primary;NotAtAll;NotAtAll;Richer;Rural;3;20;M
39;46;15;24;Secondary;Secondary;NotAtAll;NotAtAll;Poorer;Rural;4;23;M
46;51;14;20;Primary;Secondary;NotAtAll;NotAtAll;Poorer;Rural;3;32;F
31;41;18;28;Secondary;Primary;NotAtAll;NotAtAll;Poorer;Rural;3;8;F
31;33;22;25;Secondary;Primary;NotAtAll;NotAtAll;Poorest;Rural;2;8;M
29;31;21;23;Secondary;Secondary;NotAtAll;NotAtAll;Poorest;Rural;2;7;F
38;36;26;26;Primary;Primary;NotAtAll;NotAtAll;Poorest;Rural;3;12;M
43;44;20;22;Primary;Secondary;NotAtAll;NotAtAll;Poorest;Rural;5;22;M
37;40;18;22;Primary;Secondary;NotAtAll;NotAtAll;Poorer;Rural;4;19;F
36;43;21;28;Secondary;Secondary;NotAtAll;NotAtAll;Middle;Rural;3;15;F
40;40;25;26;Secondary;Secondary;NotAtAll;NotAtAll;Middle;Rural;1;14;F
46;54;23;26;Secondary;Higher;NotAtAll;AlmostEveryday;Richer;Rural;3;22;F
39;43;21;27;Higher;Higher;AlmostEveryday;At least once a week;Richest;Rural;3;17;M
44;44;20;20;Secondary;Higher;NotAtAll;At least once a week;Richest;Urban;5;23;M
36;38;26;28;Higher;Higher;NotAtAll;At least once a week;Richer;Urban;3;10;F
